               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031208,            0.021386,           0.0026267,             0.74437,             0.78964,             0.80849,             0.58969,            0.032064,           0.0087404,           0.0042619,           0.0075957,           0.0075957,           0.0075957
                  36,            0.030771,            0.020907,            0.002637,             0.80567,             0.80779,             0.84273,             0.61766,            0.030885,            0.008759,           0.0059172,            0.007525,            0.007525,            0.007525
                  37,            0.030914,            0.020954,           0.0026836,             0.79376,             0.81139,             0.81633,             0.58033,            0.031402,            0.008955,           0.0020903,           0.0074543,           0.0074543,           0.0074543
                  38,            0.030827,             0.02088,           0.0026807,             0.77003,             0.80748,             0.82546,             0.60772,            0.029887,           0.0089867,           0.0035767,           0.0073836,           0.0073836,           0.0073836
                  39,             0.03041,            0.020593,           0.0024139,             0.82885,             0.79354,             0.84682,             0.62495,            0.031416,           0.0087059,           0.0031185,           0.0073129,           0.0073129,           0.0073129
                  40,            0.030253,             0.02055,           0.0023639,             0.82609,             0.79778,             0.84504,              0.6278,            0.030219,           0.0086503,           0.0052663,           0.0072421,           0.0072421,           0.0072421
                  41,            0.030469,            0.020908,           0.0024712,             0.80376,             0.75974,             0.80674,             0.59538,            0.030321,            0.008903,           0.0022945,           0.0071714,           0.0071714,           0.0071714
                  42,            0.030174,            0.020705,           0.0023578,              0.8296,             0.82441,              0.8536,              0.6333,            0.029815,           0.0085492,           0.0022696,           0.0071007,           0.0071007,           0.0071007
                  43,            0.029756,            0.020416,           0.0023057,             0.78955,             0.83184,             0.84722,             0.62189,            0.030491,           0.0086257,           0.0022113,             0.00703,             0.00703,             0.00703
                  44,            0.029731,            0.020072,           0.0023051,             0.82421,             0.81371,             0.84981,             0.62638,             0.03088,           0.0084869,           0.0044429,           0.0069593,           0.0069593,           0.0069593
                  45,            0.029389,            0.020229,           0.0023273,             0.79808,             0.80168,             0.82901,             0.59956,            0.029787,           0.0088854,           0.0054342,           0.0068886,           0.0068886,           0.0068886
                  46,            0.029723,            0.020554,            0.002181,             0.82903,             0.78715,             0.81935,             0.60754,            0.030992,           0.0088072,           0.0041857,           0.0068179,           0.0068179,           0.0068179
                  47,            0.029358,            0.020235,           0.0023673,             0.82535,             0.78916,             0.83433,             0.62139,              0.0306,           0.0088987,           0.0033786,           0.0067471,           0.0067471,           0.0067471
                  48,            0.029449,            0.019987,           0.0022249,             0.84359,              0.7919,             0.85075,             0.62715,            0.030813,           0.0087602,           0.0024782,           0.0066764,           0.0066764,           0.0066764
                  49,            0.029179,            0.020022,           0.0022673,             0.84981,             0.82143,             0.85157,              0.6249,            0.029301,           0.0088816,           0.0018166,           0.0066057,           0.0066057,           0.0066057
                  50,            0.028891,            0.019846,            0.002187,              0.8376,             0.81229,             0.84076,             0.63505,            0.029005,            0.008765,           0.0011997,            0.006535,            0.006535,            0.006535
                  51,            0.029055,            0.020128,           0.0022522,             0.81135,             0.78931,             0.83639,             0.62672,            0.030394,            0.008747,            0.002516,           0.0064643,           0.0064643,           0.0064643
                  52,            0.028963,            0.019987,           0.0020354,             0.75893,             0.81351,              0.8153,             0.60013,            0.030634,           0.0089929,           0.0057884,           0.0063936,           0.0063936,           0.0063936
                  53,            0.028717,            0.019698,           0.0020909,             0.82169,             0.82546,             0.83924,             0.62178,             0.03079,            0.008604,            0.002262,           0.0063229,           0.0063229,           0.0063229
                  54,            0.028584,            0.019599,            0.002279,              0.7902,             0.86508,             0.85309,              0.6444,            0.029856,           0.0086265,           0.0025131,           0.0062521,           0.0062521,           0.0062521
                  55,            0.028331,             0.01955,           0.0019632,             0.85952,             0.80841,             0.85321,              0.6394,            0.029402,           0.0084763,           0.0047728,           0.0061814,           0.0061814,           0.0061814
                  56,            0.028367,            0.019628,           0.0021282,              0.8252,              0.8334,             0.85917,             0.65169,            0.031317,           0.0084426,           0.0011546,           0.0061107,           0.0061107,           0.0061107
                  57,            0.028288,             0.01957,           0.0020853,             0.83276,             0.82499,             0.85436,             0.64606,            0.028491,            0.008709,            0.004309,             0.00604,             0.00604,             0.00604
                  58,            0.028215,            0.019707,            0.001857,             0.83132,             0.83243,             0.85879,              0.6462,            0.029993,           0.0085239,           0.0025673,           0.0059693,           0.0059693,           0.0059693
                  59,            0.027816,            0.019383,           0.0017206,             0.83767,             0.81591,             0.85847,             0.64066,            0.030147,           0.0084813,           0.0057941,           0.0058986,           0.0058986,           0.0058986
                  60,            0.027782,            0.019237,           0.0018092,             0.83212,             0.84357,             0.85541,             0.65867,            0.029337,           0.0085392,           0.0023729,           0.0058279,           0.0058279,           0.0058279
                  61,            0.027651,            0.019146,           0.0019073,             0.84891,             0.81188,             0.84998,             0.65052,            0.029824,           0.0083842,           0.0021184,           0.0057571,           0.0057571,           0.0057571
                  62,            0.027489,            0.018958,            0.001813,             0.82449,             0.83062,             0.84618,              0.6408,            0.029016,           0.0084529,           0.0018079,           0.0056864,           0.0056864,           0.0056864
                  63,            0.027529,            0.019077,           0.0018273,             0.83041,             0.84322,             0.86223,              0.6539,            0.029412,           0.0083702,           0.0028903,           0.0056157,           0.0056157,           0.0056157
                  64,             0.02716,            0.018802,           0.0018526,             0.81877,             0.81407,             0.85102,             0.65109,            0.029784,           0.0087047,            0.004391,            0.005545,            0.005545,            0.005545
                  65,               0.027,            0.018985,           0.0018191,             0.80426,             0.83174,             0.84173,              0.6439,            0.028655,           0.0085316,           0.0018628,           0.0054743,           0.0054743,           0.0054743
                  66,            0.026828,            0.018707,           0.0017233,             0.82811,             0.83934,             0.86162,             0.66463,            0.030026,           0.0084069,            0.002933,           0.0054036,           0.0054036,           0.0054036
                  67,            0.027308,            0.018806,           0.0018346,             0.85919,             0.81983,             0.85519,             0.65063,            0.028838,           0.0087972,           0.0046025,           0.0053329,           0.0053329,           0.0053329
                  68,            0.027267,            0.018873,           0.0016952,             0.83781,               0.831,             0.85886,             0.65819,            0.028818,           0.0085511,           0.0018495,           0.0052621,           0.0052621,           0.0052621
                  69,            0.026744,            0.018828,           0.0018511,             0.82467,             0.83645,             0.85479,             0.66294,            0.028602,           0.0084639,           0.0020649,           0.0051914,           0.0051914,           0.0051914
                  70,            0.027294,            0.018652,           0.0017965,             0.81515,             0.84541,             0.85598,             0.65629,            0.028971,           0.0086248,           0.0037396,           0.0051207,           0.0051207,           0.0051207
                  71,            0.026491,            0.018517,           0.0018317,             0.82198,             0.85299,             0.86423,             0.66488,            0.028239,           0.0085518,             0.00197,             0.00505,             0.00505,             0.00505
                  72,            0.026443,            0.018331,           0.0018093,             0.81848,             0.83328,             0.85163,             0.65142,            0.029388,           0.0087562,           0.0036196,           0.0049793,           0.0049793,           0.0049793
                  73,            0.026698,             0.01848,           0.0017252,             0.82493,             0.81262,             0.85573,             0.65592,            0.028494,           0.0086386,           0.0046891,           0.0049086,           0.0049086,           0.0049086
                  74,            0.026126,            0.018398,           0.0018787,             0.80507,             0.86338,             0.86507,             0.67325,            0.028885,           0.0086353,           0.0026147,           0.0048379,           0.0048379,           0.0048379
                  75,            0.026351,            0.018487,           0.0017009,             0.81495,             0.83385,             0.84646,             0.65905,            0.028683,           0.0086613,           0.0021612,           0.0047671,           0.0047671,           0.0047671
                  76,            0.026475,            0.018193,           0.0015645,             0.82378,             0.85656,             0.86602,             0.66945,            0.029088,            0.008395,           0.0023977,           0.0046964,           0.0046964,           0.0046964
                  77,            0.026017,            0.018205,           0.0015171,             0.82908,             0.84722,             0.86445,             0.67309,            0.028979,           0.0083077,           0.0037904,           0.0046257,           0.0046257,           0.0046257
                  78,            0.026158,            0.018086,           0.0014801,             0.83757,             0.86265,             0.87731,             0.68446,            0.028906,           0.0082083,           0.0022363,            0.004555,            0.004555,            0.004555
                  79,            0.025798,            0.018081,           0.0015373,             0.84053,             0.86105,             0.86764,             0.67423,            0.029081,           0.0083504,           0.0046746,           0.0044843,           0.0044843,           0.0044843
                  80,            0.025688,            0.017804,           0.0015549,             0.80899,             0.86156,             0.86939,             0.67546,            0.029184,           0.0085247,           0.0042229,           0.0044136,           0.0044136,           0.0044136
                  81,            0.025549,            0.017854,           0.0016511,             0.82871,             0.86775,             0.87557,             0.68119,            0.028737,           0.0083246,           0.0051239,           0.0043429,           0.0043429,           0.0043429
                  82,            0.025785,            0.017871,           0.0015152,             0.84615,              0.8532,             0.87702,             0.68448,            0.029014,           0.0082402,           0.0041624,           0.0042721,           0.0042721,           0.0042721
                  83,            0.025289,            0.017597,           0.0015739,             0.85307,             0.83477,             0.86988,             0.68064,            0.028552,           0.0085394,            0.006088,           0.0042014,           0.0042014,           0.0042014
                  84,             0.02541,            0.017637,           0.0016372,             0.81916,             0.85704,                0.87,             0.67447,            0.028287,           0.0085127,            0.003698,           0.0041307,           0.0041307,           0.0041307
                  85,            0.025196,            0.017599,           0.0015216,             0.82583,             0.85829,             0.87045,             0.67402,            0.028573,           0.0085986,           0.0018426,             0.00406,             0.00406,             0.00406
                  86,            0.025196,            0.017652,           0.0015532,             0.80831,             0.87571,             0.86681,             0.67431,            0.028968,           0.0084293,           0.0034603,           0.0039893,           0.0039893,           0.0039893
                  87,            0.025023,             0.01751,           0.0013492,             0.83698,             0.84191,             0.86313,             0.67358,            0.029541,           0.0084605,            0.005998,           0.0039186,           0.0039186,           0.0039186
                  88,             0.02498,            0.017399,           0.0014237,             0.83429,             0.86078,             0.87331,             0.68523,            0.028982,           0.0082495,           0.0037311,           0.0038479,           0.0038479,           0.0038479
                  89,            0.024753,             0.01731,           0.0014195,             0.82986,             0.85261,              0.8695,             0.68089,            0.028252,           0.0084276,            0.003283,           0.0037771,           0.0037771,           0.0037771
                  90,             0.02487,            0.017223,           0.0014831,             0.83373,             0.84137,             0.86043,             0.67044,             0.02932,           0.0086024,            0.003445,           0.0037064,           0.0037064,           0.0037064
                  91,            0.024469,            0.017229,           0.0014864,             0.83115,             0.85512,             0.86568,             0.67686,            0.028851,           0.0086462,           0.0023486,           0.0036357,           0.0036357,           0.0036357
                  92,            0.024582,            0.017236,           0.0013735,             0.82138,             0.86235,             0.86825,             0.68012,            0.029164,           0.0085051,           0.0014591,            0.003565,            0.003565,            0.003565
                  93,            0.024484,            0.017174,           0.0014223,             0.83286,             0.84931,             0.86787,             0.68561,             0.02882,           0.0084479,            0.001725,           0.0034943,           0.0034943,           0.0034943
                  94,             0.02418,             0.01704,           0.0012811,             0.83756,             0.84884,             0.87024,             0.68197,            0.028126,           0.0085347,           0.0010994,           0.0034236,           0.0034236,           0.0034236
                  95,            0.024088,            0.016934,           0.0013152,             0.82533,              0.8579,             0.87295,              0.6844,            0.028336,           0.0086286,            0.001159,           0.0033529,           0.0033529,           0.0033529
                  96,            0.023989,            0.016898,           0.0012368,             0.82662,             0.85757,             0.87097,              0.6861,            0.028687,           0.0085115,           0.0011394,           0.0032821,           0.0032821,           0.0032821
